iter	RMSE
0	125536.671
1	122434.618
2	119513.9979
3	116731.169
4	114069.4658
5	111683.6929
6	109334.3573
7	107107.6073
8	105139.0255
9	103180.5277
10	101376.9303
11	99635.83791
12	97986.37267
13	96398.68371
14	94904.4446
15	93567.42216
16	92327.5564
17	91206.44785
18	90057.99563
19	88937.53228
20	87901.54513
21	86885.54111
22	86013.68295
23	85144.14233
24	84343.1019
25	83594.57591
26	82809.24383
27	82129.08101
28	81453.51943
29	80898.28851
30	80239.44728
31	79679.62708
32	79170.6021
33	78655.07222
34	78140.95707
35	77719.16163
36	77281.29094
37	76825.41904
38	76394.24292
39	75941.71517
40	75563.23912
41	75155.7131
42	74799.50691
43	74481.21209
44	74156.85388
45	73898.59052
46	73614.09276
47	73333.12797
48	72990.0809
49	72722.87039
50	72473.8244
51	72234.54966
52	71997.64742
53	71777.89283
54	71568.7739
55	71346.69964
56	71177.45784
57	71006.90922
58	70797.31766
59	70596.10882
60	70376.73273
61	70197.17746
62	70039.07334
63	69905.53984
64	69633.62807
65	69483.04777
66	69349.12414
67	69215.25425
68	69101.0514
69	68927.63111
70	68806.67091
71	68626.33265
72	68518.26783
73	68377.48177
74	68290.95117
75	68174.81175
76	68054.57044
77	67928.419
78	67771.30481
79	67670.82322
80	67598.95383
81	67501.38901
82	67448.67521
83	67335.72656
84	67264.48561
85	67158.02686
86	67086.07845
87	66911.7319
88	66785.33153
89	66717.17268
90	66606.12304
91	66522.32527
92	66396.55162
93	66304.09479
94	66219.47245
95	66148.74757
96	65996.85652
97	65883.6106
98	65812.27551
99	65728.20702
100	65622.6977
101	65567.55199
102	65513.62472
103	65436.94384
104	65356.5771
105	65291.27912
106	65215.75553
107	65165.74793
108	65089.42924
109	64989.94685
110	64903.79048
111	64778.17472
112	64708.00877
113	64639.30524
114	64592.48303
115	64491.50442
116	64439.30909
117	64370.44465
118	64254.87144
119	64199.72441
120	64157.51558
121	64084.16548
122	64003.35705
123	63956.30046
124	63890.22457
125	63817.49974
126	63764.38367
127	63697.15782
128	63639.40195
129	63582.90477
130	63506.99229
131	63449.11581
132	63364.27896
133	63326.8487
134	63279.3775
135	63202.27437
136	63165.5965
137	63117.56445
138	63078.55285
139	62992.79047
140	62933.60189
141	62831.93666
142	62740.61259
143	62687.76466
144	62626.82776
145	62551.98159
146	62476.74882
147	62383.54216
148	62333.60527
149	62299.17242
150	62269.95361
151	62199.83361
152	62103.9228
153	62068.37528
154	62029.88392
155	61990.95549
156	61944.72932
157	61902.86638
158	61850.49535
159	61801.35754
160	61754.8878
161	61718.83345
162	61671.96312
163	61640.79031
164	61585.66212
165	61513.0271
166	61456.93126
167	61413.17748
168	61393.17831
169	61363.85279
170	61327.07404
171	61275.81842
172	61241.89242
173	61171.435
174	61123.99033
175	61045.36756
176	60996.77412
177	60921.75401
178	60867.32744
179	60835.67286
180	60802.03056
181	60751.0053
182	60712.19339
183	60669.57306
184	60633.4811
185	60587.93404
186	60562.78334
187	60501.54356
